,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
166,SVR,70,0.1,poly,-0.27997194524377544,-0.40770629013186666,-0.2451745686953597,-1.1415525366870054,-0.25415741514914236
167,SVR,70,0.2,poly,-0.2815038702812127,-0.42408979476302266,-0.21815940830697955,-1.0346344904868023,-0.27916004411685735
168,SVR,70,0.3,poly,-0.28043838693167444,-0.38660546059229506,-0.21663007985913119,-0.9529109398019187,-0.22135187537517442
169,SVR,70,0.4,poly,-0.28299495188232715,-0.3858169703590253,-0.21757053393921666,-0.9254214015454545,-0.18149792457786829
170,SVR,70,0.5,poly,-0.2850279315866855,-0.3991829022448048,-0.21413736312758913,-1.0882308527161628,-0.2455289706276529
171,SVR,75,0.1,poly,-0.10295867964975836,-0.19055230943720036,-0.050401871083874505,-0.6367598435775379,-0.07966205938170612
172,SVR,75,0.2,poly,-0.10184382608418296,-0.18309931403774438,-0.0318430834614889,-0.488028815811149,-0.05462045312907171
173,SVR,75,0.3,poly,-0.10152925315866779,-0.198806908930659,-0.03128691342409451,-0.43333314768981945,-0.05438649505171944
174,SVR,75,0.4,poly,-0.10231649553764122,-0.19908924601022848,-0.030445783148594474,-0.4629637089221441,-0.026975548965748164
175,SVR,75,0.5,poly,-0.10693896834512495,-0.19783422412304663,-0.028513850927494255,-0.5811184786328902,-0.073364144890542
176,SVR,80,0.1,poly,0.016363366393471246,-0.04164561755992824,0.04807906331280676,-0.2435094940195821,0.02828884287306377
177,SVR,80,0.2,poly,0.015087286369138364,-0.036347426088333856,0.05664407653392034,-0.17271399993436432,0.04325168277034863
178,SVR,80,0.3,poly,0.016334659770815385,-0.03485814546440125,0.05491635533536754,-0.12955963909120305,0.04336971849324722
179,SVR,80,0.4,poly,0.016316771923823192,-0.03606775441900756,0.057102412466738306,-0.14737825007049232,0.05758326620632703
180,SVR,80,0.5,poly,0.01713685098422224,-0.035001407691178654,0.05863818458092407,-0.19851793881826651,0.032708453273157634
181,SVR,85,0.1,poly,-29.429291332685935,0.04502438352183247,-1.023522991125024,-0.005822977854827771,-29.1142021581021
182,SVR,85,0.2,poly,-29.323441257246994,0.03931824226154457,-0.9265825050561494,0.02964817484245863,-29.08732485580899
183,SVR,85,0.3,poly,-29.269305842041398,0.03901475214858485,-1.1267913277948538,0.04764623564729242,-29.136979593556887
184,SVR,85,0.4,poly,-29.38184305021524,0.04667535447845417,-1.123280667329284,0.022438498487888814,-29.04200163219953
185,SVR,85,0.5,poly,-29.399508854273165,0.05395723778161032,-1.0446685712989372,-0.005955364127465668,-28.2223872501296
186,SVR,90,0.1,poly,-27.084053985495295,0.08275838431837235,-0.5295341070011379,0.07399147675037088,-26.863511329845096
187,SVR,90,0.2,poly,-26.507166913387348,0.08329083348682642,-0.5299975205697756,0.07519610944367827,-26.857618652740005
188,SVR,90,0.3,poly,-26.06252856571027,0.0833331426751791,-0.48074064289908747,0.07289567225894389,-26.769295565289454
189,SVR,90,0.4,poly,-26.85464786720691,0.08327721872090954,-0.5183743830786078,0.07055607153882171,-27.05959347658015
190,SVR,90,0.5,poly,-26.799826808392616,0.08337750356815266,-0.42550511822389536,0.07454480953782705,-25.81454796568416
191,SVR,95,0.1,poly,-24.709431240220326,-0.9140989583075225,-0.23228878117705265,-0.009046091664721034,-25.127769682131518
192,SVR,95,0.2,poly,-24.741005834829924,-0.9222732627716101,-0.23079157569504183,-0.028192254625035496,-25.076369585948584
193,SVR,95,0.3,poly,-25.39099821983614,-0.9082539989742313,-0.23023460259695305,-0.06657317856361167,-25.097039151611597
194,SVR,95,0.4,poly,-25.068622910558716,-0.9179379580996063,-0.1932469820345084,-0.048061901754227865,-24.06471950550168
195,SVR,95,0.5,poly,-24.994089474082983,-0.8419186249023527,-0.15795356975278585,-0.043100259699724974,-24.952832830958915
196,SVR,100,0.1,poly,-21.712827763023405,-0.6174122352379099,-0.003366678587851668,-0.166043868156599,-23.121012236370504
197,SVR,100,0.2,poly,-22.299476134918073,-0.6142724626109328,-0.002352629690273833,-0.198537527292578,-23.07195584995333
198,SVR,100,0.3,poly,-22.67954763734502,-0.5690667606909141,0.012215932734793267,-0.2634333701825815,-22.62374356547527
199,SVR,100,0.4,poly,-22.743166257205125,-0.6146138802774106,0.03907507415922795,-0.23435863466834572,-22.065437752959035
200,SVR,100,0.5,poly,-22.585213645833267,-0.5090783522487947,0.04247100989495711,-0.2807822776535449,-22.076749627581666
201,SVR,5,0.1,rbf,-0.21093732497911222,-0.21134511296601333,-0.21286867269085685,-0.21787775754059502,-0.21057055520685508
202,SVR,5,0.2,rbf,-0.21091165758305208,-0.21133617849273723,-0.21285023814656578,-0.21787114404266283,-0.2105504529548472
